systolic hypertension	C0221155
ferritin elevated	CUI-less
cutis laxa	C0010495
forgetful	C0542476
neuro status	CUI-less
bowel loops	CUI-less
psychosis	C0033975
hypokinesis	C0086439
diverticulosis	C1510475
hypokinesia	C0086439
exposure to chemicals	CUI-less
visual disturbances	C0547030
inferior st elevation	CUI-less
decreased distal pulses bilaterally	CUI-less
gastroesophageal reflux	C0017168
congestive heart failure	C0018802
orbital fracture	C0029184
net	C0206093
secretions	CUI-less
herpes encephalitis	C0276226
shaky	C0040822
enlarged paratracheal node	C0520744
loculated component	CUI-less
lacunar infarct	C0333559
grade iv/vi systolic ejection murmur	C0232252
type b aortic dissection	C0340647
bullae	C0005758
allopecia	CUI-less
rca occlussion	C1290385
decompensation	CUI-less
coffee-grounds emesis	C1510416
edamatous	C0013604
strain of aggressive fluid	C0080194
fat stranding	CUI-less
cavitary infiltrate	CUI-less
lethargy	C0023380
engorgement	C0020452
subarchnoid hemorrhage	C0038525
dried blood	CUI-less
episodes of unconsciousness	C0234431
uremic	C0041948
left pneumothorax	CUI-less
papular erythematous lesion	CUI-less
poorly responsive	C0478662
erythema wound	C0406833
peripheral neuropathy	C0031117
rhonci	C0035508
watershed stroke	C0333557
lactose intolerant	C0022951
aortic dissection, type b	C0340647
superior rami fracture	C0577726
hyperpigmented macules	CUI-less
dropping oxygen saturation	CUI-less
decreased touch	CUI-less
wide complex v-tach	C0344429
fasciculations	C0015644
gastrointestinal bleed	C0017181
mitral regurg	C0026266
diffusely low in attenuation	CUI-less
elevated psa	CUI-less
fluid-filled uterus	CUI-less
atherosclerotic disease	C0004153
slow to respond	CUI-less
splenic sequestration	CUI-less
unable to move his legs	CUI-less
portal vein thrombus	C0155773
pitting edema	C0333243
shift	CUI-less
low hematocrit	CUI-less
showed bright red blood	C0019080
rv function depressed	CUI-less
aortic valve disease	C1260873
asymmetric face	CUI-less
brbpr	CUI-less
urinary retention	CUI-less
finger to nose ataxia	C0856552
large b-cell lymphoma high grade	C0456867
seizure activity	C0036572
t wave inversions	CUI-less
paced rhythm	CUI-less
myocardial infarctions	C0027051
aphasia	C0003537
heart murmurs	CUI-less
bp fell	CUI-less
leg pain	C0023222
allergy	C0020517
turbulent flow	CUI-less
nasal septum deviates	C0549397
ill-appearing	CUI-less
nonsustained ventricular tachycardia	C2919575
without strength	C0004093
infectious consolidation	CUI-less
pafib	C0235480
acute renal insufficiency	C0022660
calcified tips	CUI-less
poor nutritional status	CUI-less
hurting yourself	C0480203
intention tremor	C0234376
atenolol intake	C0568621
osteoarthritis	C0029408
metastases adrenals	C0153691
left effusion	C0013687
hemorrhagic stroke	C0553692
st wave changes	CUI-less
palpatations	CUI-less
metastases lungs	C0153676
bipolar disorder	C0005586
acute renal failure	C0022660
not responsive	CUI-less
anterolateral st elevation	CUI-less
valvular heart disease	C0018824
nephrotic range proteinuria	C0445118
fatty infiltration	C0333575
atenolol overdose	C0573210
cataract	C0086543
back pain	C0004604
downgoing toes	CUI-less
pupils pinpoint	CUI-less
st-t abnormalities	CUI-less
nonedematous	CUI-less
lesions	CUI-less
pulmonary hypertension	C0020542
sweats	CUI-less
congestive failure	C0018802
ext warm	CUI-less
lymphadenopathy	CUI-less
airway obstruction	C0001883
hemetematsis	C0018926
nevi	C0027960
iron deficiency	C0240066
embolus	CUI-less
non aggressive process	CUI-less
acute risk to others	CUI-less
wounds	C0332803
pulmonary infiltrates	C0034068
tachycardic	CUI-less
po intake	CUI-less
black tarry stools	C0025222
stenosis in both renal arteries	C0856760
flutter	C0004239
wide qrs complex	CUI-less
vascular congestion	CUI-less
paneumonia	C0032285
tachycardia	CUI-less
acute bleeding	C0333276
uterine stripe	CUI-less
passed flatus	C0016204
alcohol use	CUI-less
hemetemesis	C0018926
systolic dysfunction	C0749225
organomegaly	CUI-less
irregularly irregular	CUI-less
extravasation	C0015376
thrombosis	C0040053
depressed lvef	CUI-less
encephalomalacia	C0014068
chronic alcoholic-induced pancreatitis	C0341470
headaches	C0018681
atheroma	C0264956
nondistended	CUI-less
multiple rib fractures	C0272567
cold symptoms	C0009443
tortuous thoracic aorta	CUI-less
anteroseptal lateral myocardial infarction	CUI-less
hives	C0042109
cord compression	C0037926
beta-blocker toxicity	C0573209
severe pain	C0278140
ischemia	C0022116
t wave flattening	CUI-less
asterixis	C0232766
ischemic	C0022116
sensation	CUI-less
intraventricular blood products	CUI-less
spondylolysis	C0038018
euthyroid	CUI-less
osteophyte	C1956089
orthopedic injuries	CUI-less
facial movement	CUI-less
mesenteric injury	C0178324
enlarged lymph nodes	CUI-less
tenderness abdomen	C0232498
alcoholic episodes	CUI-less
meaningful neurologic function	CUI-less
posturing	CUI-less
delerium	C0011206
contorted	CUI-less
vegetations	C1285498
tinnitus	CUI-less
foci lower lumbar spine	CUI-less
first degree av block	C0085614
left ventricle hyperdynamic	CUI-less
chronic sinusitis	C0149516
hyperkalemic	CUI-less
copious amount of secretions	CUI-less
toxic metabolic abnormalities	CUI-less
hyperkalemia	CUI-less
suicide	CUI-less
ostial lesion	CUI-less
erythematous	C0041834
group a strep bacteremia	C0554628
upper hard palate yellow and discolored	CUI-less
irreg	CUI-less
chronic low back pain	C0457949
abdomen soft	CUI-less
course upper airway sounds	CUI-less
hypothyroidism	C0020676
polypoid mucosal thickening	CUI-less
aortic valve stenosis	C0003507
deterioration of mental status	CUI-less
fever	CUI-less
rca occluded	C1290385
mitral leaflets thickened	C3164530
nsr	CUI-less
oriented to place and time	CUI-less
aneurysm of carotid artery	C0340639
abnormal density	CUI-less
low amplitude p waves	CUI-less
lower gi bleeding	C0024050
olecranon fx	C0555335
sinistral hypertension	CUI-less
low grade fevers	CUI-less
nodular liver	CUI-less
clinical change	CUI-less
ptsd	C0038436
gastric cancer	C0024623
mitral regurgitation	C0026266
bronchitis	C0006277
steroid induced diabetes mellitus	C0589117
labile blood glucose	CUI-less
conduction disease	C0264886
flank pain	C0016199
intraventricular blood	CUI-less
bicuspid aortic valve	C0149630
ecg changes	CUI-less
infectious colitis	C0277524
incisions	C0332803
symptomes	C1457887
arrest	CUI-less
lv dysfunction	CUI-less
myocardial infarction	C0027051
schizophrenia	C0036341
malignant	C0006826
hypercholesterolemia	C0020443
third heart sound	CUI-less
upper zone redistribution	CUI-less
inferior myocardial infarction	C0340305
cystic area	C0334054
liver cirrhosis	C0023890
allergic rhinitis	C2607914
subcutaneous abscess	C0149777
ventricular irritability	CUI-less
sinus disease	C0030469
cardiac defects	C0018816
soft tissue swelling	CUI-less
abdominal stoma	C0459683
grasp reflex	CUI-less
parathyroid adenoma	C0262587
cirrohsis	C0023890
sternal rub	CUI-less
sternal click	CUI-less
lyme	C0024198
eschar	C0521172
endstage renal disease	C0022661
crackles	C0034642
rectal cancer	C0007113
blood in the stool	C1321898
ventricular response rate up	CUI-less
air-filled colonic loops	CUI-less
infectious disease	C0004623
volume of stools	CUI-less
deformity	C0302142
headache	C0018681
unable to rise	CUI-less
fib	C0232197
depression in 2	CUI-less
meningeal carcinomatosis	C0220654
desatureated	CUI-less
depression in 5	CUI-less
non-bleeding proximal stomach lesion	CUI-less
abnormal pap smears	CUI-less
impaired relaxation	CUI-less
distant hs	CUI-less
rv failure	C2939447
aortic dissection type b	C0340647
internal fat	CUI-less
la enlargement	C0238705
abdomen bruits	C0221755
sick sinus syndrome	C0037052
neglect	CUI-less
right upper lobe pneumonia	C0585106
ad	C0002395
anginal	C0002962
af	C0004238
ah	C0233762
osseous abnormalities	CUI-less
ai	C0003504
ulcerations esophagus	C0151970
sensory changes	CUI-less
ar	C0003504
as	C0003507
multiple injuries	C0026771
resp. failure	C1145670
occlusion	C0028778
portal gastrophathy	CUI-less
nephrolithiasis	C0392525
loculated	C1265808
pancreatitis	C0030305
compression	CUI-less
raccoon eyes	CUI-less
dyskinesis	C0013384
pleural calcifications	C0264541
left ama	CUI-less
propioception	CUI-less
syndrome of inappropriate diuretic hormone	C0021141
achalasia	CUI-less
bm	CUI-less
bp	CUI-less
akinesis	C0085623
passed clots	CUI-less
idiopathic anemia	CUI-less
spleen enlarged	CUI-less
contractures	C0009917
occlussion	C0028778
tongue midline	CUI-less
moans when touched	CUI-less
decreased hr	C0428977
metastases mesentary	C0686147
right ventricular dilated	C0344893
cp	C0008031
withdrawel symptoms	C0087169
wide-complex tachycardia	CUI-less
autonomic instability	CUI-less
factor xi deficiency	C0015523
slower heart rates	C0428977
chronic lymphocytic leukemia	C0023434
petechiae	C0031256
kidney simple cyst	C0268800
opacity	C1265876
pallor	C0030232
atrial septal defect	C0018817
mediastinal contours widened	CUI-less
increase in size of the lumen	CUI-less
hypertrophic	C0020564
angulated fracture	C0585061
dm	C0011849
broad ligament fibroid	C0404480
dry mucosa	CUI-less
rheumatic fever	C0035436
first degree a-v delay	C0085614
dt	C0001957
stomach lac	C0434066
silent mi	C0340324
scars	C2004491
aspirating	CUI-less
acute distress	CUI-less
increased 02 requirement	CUI-less
light touch	CUI-less
metastases soft tissues	C0684686
eyes were clamped closed	CUI-less
position sense impaired	CUI-less
elevated blood glucose	CUI-less
subcutaneous collection	CUI-less
fatigued	C0015672
metastatic disease	C2939419
decreased bs	CUI-less
end-stage renal disease	C0022661
lv thrombus	C0587044
reactive vascular transformation	CUI-less
musculoskeletal jerking	CUI-less
systolic function depressed	CUI-less
aspiration	CUI-less
varicose veins	C0042345
enuresis	C0014394
paresthesias	C0030554
abdominal nontender	CUI-less
thickening	CUI-less
bradycardiac	C0428977
frothy sputum	C0577979
end stage renal disease	C0022661
post-obstructive	CUI-less
unresponsiveness	CUI-less
fx	C0016658
tortion	C1265748
esophageal ulcers	C0151970
hep b virus	C0019163
alert	CUI-less
rate	CUI-less
muscle aches	C0231528
3-vessel disease	C0340285
gb	C0018378
linear densities	CUI-less
blood bowel movement	CUI-less
pulmonary effusions	C0032227
occluded	C0028778
breast cancer	C0006142
patent airway	CUI-less
rhythm	CUI-less
incomplete hd	CUI-less
enlarged liver	CUI-less
rash	C0015230
aeration left lung	CUI-less
nipple shadow	CUI-less
ha	C0018681
timi three flow	CUI-less
resp arrest	C0162297
drug overdose	C0029944
left ventricular outflow obstruction	C0344917
hyperparathyroidism	C0020502
peak systolic velocities	CUI-less
prolonged p-r interval	CUI-less
mucosal irregularity	CUI-less
nonfunctional kidney	CUI-less
normocytic anemia	C0085577
poor oxygenation	CUI-less
temperature spikes	CUI-less
sleep apnea	C0037315
fractures	C0016658
eosinophilic pneumonia	C1527407
embolic	C0262469
ocr	CUI-less
blood pressure	CUI-less
down's syndrome	C0013080
fluid collects	CUI-less
associated symptoms	C0521989
cerebral contusions	C0750971
st segment elevations	CUI-less
significant hematocrit drop	CUI-less
primary renal neoplasm	C0740457
cannot keep in fluids	C0235395
distraction	C0332778
radiation to his jaw	CUI-less
gas in colon	CUI-less
retrocardiac opacification	CUI-less
transaminitis	CUI-less
acute bleed	C0333276
extremities turned in	CUI-less
hemisphere hemorrhage	C0007784
shock liver	CUI-less
low sats	CUI-less
tunneled catheter infections	C0588173
retroperitoneal hematoma	CUI-less
impaired glucose tolerance	C0271650
blood vomit	C0018926
chronic kidney failure	C0022661
thrombosed	C0340704
midline lesion	CUI-less
abscess cautery stones	CUI-less
pericardial effusion	C0031039
discoid atelectasis	C0264494
a. fib	C0004238
elevated digoxin level	CUI-less
pupils reactive to light	CUI-less
hypertensive crisis	C0020546
flank pain right	C0423640
leukocytosis	C0023518
anabolic steroid abuse	C0338671
abdomen warm	CUI-less
normotensive	CUI-less
somnolence	CUI-less
adenocarcinoma	C0001418
increase creatinine	CUI-less
rest symptoms	CUI-less
chronic constipation	C0401149
chest discomfort	C0235710
hear voices	C0424068
liver not palpable	CUI-less
actively suicidal	CUI-less
systolic ejection murmur	CUI-less
gag reflex	CUI-less
pharyngeal exudate	CUI-less
dark blood	CUI-less
tremulousness	C0040822
emesis	C0042963
drop in blood pressure	C0520541
pancreatic mass	CUI-less
eyes deviated	C0339614
elevated left sided filling pressures	CUI-less
prominent loops	CUI-less
elongated la	C0344711
emphysematous changes	C0029607
vomitting	C0042963
loculated hemorrhage	CUI-less
mg	CUI-less
mi	C0027051
dyssymetric	CUI-less
right palmomental reflex	CUI-less
urine output	CUI-less
desaturations	CUI-less
renal lesion	CUI-less
mr	C0026266
withdrawal seizures	C0586323
ulcers duodenal	C0013295
ms	C0026269
pain back	C0004604
syncopized	C0039070
blood third ventricles	CUI-less
double vision	C0012569
distention	C0012359
tricuspid leaflets thickened	C2959459
prostate carcinoma	C0600139
mitral valve regurgitation	C0026266
ns	C0028081
acutely intoxicated	C0394996
sbp came back	CUI-less
nasal bone fractures	C0159322
underlying mass	CUI-less
hyperglycemia	C0020456
left-sided cva	C0586325
oa	C0029408
od	C0029944
mechanical fall	CUI-less
stricture bile duct	C0235982
hyperglycemic	C0342243
infrarenal abdominal aortic aneurysm	C0741151
toes mute	CUI-less
st depressions	CUI-less
abnormal movements	C0392702
hypokinetic	C0086439
creatinine improved	CUI-less
type 1 diabetes	C0011854
incarceration	CUI-less
mca infarct	C0740392
free pelvic fluid	CUI-less
black tarry stool	C0025222
depression in v4	CUI-less
adipose tissue densities	CUI-less
abscess right flank	C0263108
atelectasis left	C0004144
elevated l sided pressures	CUI-less
pe	C0034065
tachycardiac	CUI-less
facial cuts	C0432944
gi bleeding	C0017181
left atrium dilated	C0344720
a-fib	C0004238
comfort measures	CUI-less
pr	C0034088
ps	C0034089
spondylolisthesis	C0038016
cardiac enzyme fractions	CUI-less
st elevation	CUI-less
drop blood pressure	C0232107
upgoing	CUI-less
sedated	CUI-less
biphasic t waves	CUI-less
carotid bruits	CUI-less
exertional cp	C0232288
diabetes mellitus type 2	C0011860
s3	CUI-less
fibrothorax	C2724209
3vd	C0856738
s4	CUI-less
symptoms of aspiration	CUI-less
apneic	C0003578
lv wall motion abnormality	CUI-less
pupils reactive	CUI-less
abdomen nt	CUI-less
cerebrovascular event	CUI-less
bone lucency	CUI-less
diseased	C0012634
abdomen nd	CUI-less
iliac bone fracture	C0347805
holosystolic murmur	C0232258
pharyngitis	C0031350
rbbb	C0085615
large amounts of clot	C0302148
diabetes type ii	C0011860
coronary disease	C0010068
motor weakness	C1536698
ataxia	C0004134
si	CUI-less
neutropenic	C0027947
palate elevated	CUI-less
decreased ejection fraction	CUI-less
sr	CUI-less
numbness	C0028643
carotid artery thrombosis	C0007274
failure rejection	C0451706
sx	C1457887
sz	C0036572
transient ischemic attack	C0007787
triple vessel cad	C0340285
productive cough	C0239134
regional systolic function	CUI-less
aortic aneurysm	C0003486
bronchial secretions	CUI-less
bleeding problems	CUI-less
pulmonary overload	C0340106
acidosis	C0001122
atrophy	C0333641
intracardiac shunt	CUI-less
deformity elbow	C0264138
to	CUI-less
left ventricular failure	C0023212
right ventricular volume overload	CUI-less
tr	C0040961
prolonged q-tc interval	CUI-less
food lower third of the esophagus	CUI-less
wheezing	C0043144
uc	C0009324
liver function tests rise	CUI-less
additional medical issues	CUI-less
aids	C0001175
pulmonary edema	C0034063
hyperaldo	C0020428
hypercholestrolemia	C0020443
small bowel obstruction	C0235329
thin	CUI-less
chest pain radiated	C0232289
vf	C0042510
tongue atrophy	C0241423
fistula	C0016169
tone decreased	C0026827
failure	C0018801
thalamic infarcts	C1611171
rv systolic function depressed	CUI-less
elevated amylase	CUI-less
moving abnormally	CUI-less
chemical pneumonitis	C0264458
oxygen demands decreased	CUI-less
nodularity	C0028259
wound care	CUI-less
colon adenocarcinoma	C0338106
increased peak aortic gradient	CUI-less
hepatosplenomegly	C0019214
chronically loose stools	C0401151
enlarged subarachnoid space	CUI-less
complete heart block	C0151517
gag	CUI-less
methicillin-resistant staphylococcus aureus bacteremia	C0343401
vommiting blood	C0018926
venous collaterals	C0265074
elevated inr	CUI-less
alcoholism	C0001973
sore throat	C0242429
overweight	C0497406
mssa sepsis	CUI-less
dilated cardiomyopathy	C0007193
response to pain	CUI-less
dyscoordination	C0520966
type 1 diabetes mellitus	C0011854
gained more than three pounds	CUI-less
foot pain	C0016512
pulsation	CUI-less
response to painful stimulus	CUI-less
prerenal etiology	CUI-less
impairment	C0684336
subarachnoid hemorrhage	C0038525
elevated transaminases	CUI-less
presyncopal episode	C0700200
osa	C0520679
significant bowel movements	CUI-less
exertional angina	C0577698
bibasilar atelectasis	C0004144
inr reversed	CUI-less
substernal chest pain	C0151826
lesions cervix	C0235656
decreased hearing	CUI-less
puss	CUI-less
tachypneic	C0231835
foot dislocation	C0434694
gcs	CUI-less
depressed	CUI-less
lv inflow pattern	CUI-less
seized	C0036572
common iliac aneurysm	C0700638
ventral hernia	C0019326
acute respiratory distress	C0748355
skin dry	C0151908
sacral mass	CUI-less
r hemianopsia	CUI-less
sacral decubitus ulcer	C0558159
increased speech	CUI-less
wall motion abnormality	CUI-less
ischemic cardiomyopathy	C0349782
right atria dilated	C0344709
common carotid aneursym	C0264965
lung abscess	C0024110
cooling	CUI-less
lung ca	C0242379
mm dry	C0854113
calcification	CUI-less
perihilar alveolar pattern	CUI-less
renal mass	CUI-less
mitral valve leaflets thickened	C3164530
deconditioning	CUI-less
copd	C0024117
sedentary	CUI-less
abnormal changes	CUI-less
hematocrit down	CUI-less
decompressed	CUI-less
schizoaffective disorder	C0036337
st dep	CUI-less
dimples	CUI-less
non-cardiac chest pain	C0476281
end organ damage	C0332675
chronic atrial fibrillation	C0694539
psoas abscess	C0085222
iron deficiency anemia	C0162316
dyspnea on exertion	C0231807
emaciated	C0013911
new symptoms	C1457887
alcoholic cirrhosis	C0023891
etoh use	C0085762
pulmonic insufficiency	C0034088
collapsed lung	C0004144
vasogenic cerebral edema	C0472387
nocturia	C0028734
lower abdominal tenderness	C2585306
shotty lymph nodes	CUI-less
fundi obscured	CUI-less
hepc	C0019196
increased sputum	CUI-less
retained products of conception	C0033270
corn	C0010046
perfusion defects	CUI-less
pulmonary infection	C0876973
right ventricular enlargement	C0344893
upper respiratory infections	C0041912
ureter stones	C0041952
pm failure to capture	C0340923
liver nodules	CUI-less
corneal reflex present	CUI-less
spontaneous movement	CUI-less
ischemic colonic perforation	CUI-less
blood in stomach	CUI-less
visual field cuts	CUI-less
bright red blood per rectum	CUI-less
melenic stools	C0025222
blood pressure stable	CUI-less
ventricular tachycardia	C0042514
gastrointestinal upset	C2697368
iliac vein injured	C0160733
elevation hemidiaphragm	CUI-less
murmur radiation	CUI-less
internal carotid artery stenosis	C0340569
atrioventricular conduction block	CUI-less
gib	C0017181
epileptiform activity	CUI-less
chronic ventilatory dependence	CUI-less
valvular regurgitation	C0042300
atelectatic changes	C0004144
vegetation	C1285498
terminal illness	C0679247
urinary incontinence	C0042024
tib deformity	C0343294
abdominal pain	C0000737
lung lesions	CUI-less
loss of consiousness	CUI-less
drainage from incision site	CUI-less
ganglioma	C0206716
elevated ce's	CUI-less
felt tired	C0849970
obstructive airways disease	C0600260
drainage wound	C0332799
retinal detachments	C0339440
neurofibroma	C0027830
right ventricular systolic function normal	CUI-less
loss of consciousness	CUI-less
accre	C0032044
high chol	C0020443
withdrawal symptoms	C0087169
sigmoid diverticulosis	C0012818
pharyngeal dysphagia	C0267071
noncalcified nodule	C0028259
back injury	C0004601
polysubstance abuse	C0747752
brady	C0428977
vfib	C0042510
parkinson's disease	C0030567
thyroid enlarged	C0018021
tube feed dependence	CUI-less
hepatitis-c	C0019196
thickened tricuspid leaflets	C2959459
three vessel coronary artery disease	C0340285
pleural effusions bilaterally	C0747635
rupture	C3203359
ischemic state	CUI-less
pedal edema	C0574002
subcutaneous mass	CUI-less
comfort measures only	CUI-less
trauma	C0043251
rca occlusion	C1290385
iliac aneurysm	C0162870
increased tone	C0026826
abscess flank	C0263108
cardiac event	CUI-less
cerebral aneurysm	C0917996
axillary lymphadenopathy	C0578735
swallowing problems	C0392678
dry skin	C0151908
splenomegaly	CUI-less
chest pain squeezing	CUI-less
bleeding ulcer	C0333291
mesenteric hematoma	C0267767
leaving ama	CUI-less
vascular dementia	C0011269
ankylosing spondylitis	C0038013
elevated cr	CUI-less
neuroectodermal tumor	C0206093
heavier periods	C0025323
edematous	C0013604
head injury	C0018674
unsteady	CUI-less
pain hip	C0019559
dyskinetic	C0013384
stenosis ica	C0340569
appearance of uterus	CUI-less
colonization	CUI-less
hydrosalpinx	C0221376
non-st-elevation myocardial infarction	C1276061
sacral fracture	C0435492
acute st segment elevation myocardial infarction	C1303258
blood on his tongue	CUI-less
murmur radiating	CUI-less
increase in creatinine	CUI-less
drainage wounds	C0332799
rashes	C0015230
elevated bp	CUI-less
hallucinating	C0018524
hemorrhagic conversion	CUI-less
b-cell lymphoma	C0079731
elevated ck	CUI-less
angiomyolipoma	C0206633
psychiatric illnesses	C0004936
prolonged qtc interval	CUI-less
wave discharges	CUI-less
hypercarbia	C0020440
c. difficile	C0343386
multiple facial fractures	C0159321
lung contusion	C0347625
urinary loss	CUI-less
chest pain on exersion	C0232288
right axis deviation	CUI-less
mediastinal contour	CUI-less
paf	C0235480
kidney stone	C0022650
low grade temperatures	CUI-less
aspirations	C0700198
pulmonary simplification	CUI-less
murmurs	CUI-less
facial asymmetry	C1306710
gastritis	C0017152
hypoxia	C0242184
hypoxic	C0242184
rv systolic function	CUI-less
alcohol abuse	C0085762
lipase elevated	CUI-less
stomach polyp	C0236048
ascending aorta dilated	C0345049
corneal on r	CUI-less
elevated esr	CUI-less
dimished bs	CUI-less
elevated liver enzymes	CUI-less
right atrium dilated	C0344709
ards	C0035222
trapped ventricle	CUI-less
akinetic	C0085623
erythema	C0041834
presyncope	C0700200
paraesophageal hernia	C0267725
epidural mass	CUI-less
insulin abuse	C0274546
telangiectasias	C0039446
terminally ill	C0679247
ab soft	CUI-less
inferior ischemia	CUI-less
rectal masses	CUI-less
rv function	CUI-less
loss of gray-white differentiation	CUI-less
pvcs	C0151636
vascular calcification	C0342649
decreasing trop	CUI-less
spike a temperature	CUI-less
cirrhotic liver	C0023890
bactermia	C0004610
inability to walk	CUI-less
primary pulmonary hypertension	C0152171
narcotic overdose	C1578566
ng tube curled	CUI-less
inadequate hd	CUI-less
lucent lesion	CUI-less
tibia fractures	C0040185
pcp	C0032305
infiltrates	C0332448
blood loss anemia	C0948824
left ventricular inflow pattern	CUI-less
left bundle branch block	C0023211
pda	C0013274
wound drainage	C0332799
biliary tree abnormalities	CUI-less
cavitary lesion	CUI-less
chest multiple nodules	C0748164
respiratory failure	C1145670
tobacco abuse	C0040336
kidney mass	CUI-less
pulmonary status	CUI-less
hydropneumothorax	C0020303
bleeding	C0019080
aortic root dilated	C0238669
thickened wall	CUI-less
gsw	C0043252
unable to get up	CUI-less
lung cancer	C0684249
dissection abdominal aorta	C0837143
abscess rt flank	C0263108
abdominal tenderness	C0232498
bp dropped	CUI-less
tremors	C0040822
incoordination	C0520966
syst murmur	CUI-less
intraop bleeding	C0079027
elevated wbc	C0023518
hypotonic	C1579769
bloody stools	C1321898
arch coarctation	C0003492
new cough	C2220033
lung injury via mechanical ventilation	C0340257
skin yellow	C0022346
alcoholic liver disease	C0023896
hct trended down	CUI-less
pfo	C0016522
st segment abnormalities	CUI-less
small-vessel disease	C2733158
irregular	CUI-less
groin pain	C0239783
dysfunction	CUI-less
chronic schizophrenia	C0221765
perioperative complications	C0009566
hepatic encephalopathy	C0019151
abrasion knee	C0432860
bleeding blood vessel	C0264940
afebril	CUI-less
pulmonary embolism	C0034065
post nasal drip	C0032781
esophagitis	C0014868
dullness to percussion	CUI-less
ncslc	C0007131
mural thrombus	C0333205
conjunctivitis	C0009763
symptoms persisted	CUI-less
aorta dilated	C0265004
hard of hearing	CUI-less
carotid disease	C0007273
ventricular tachycardia arrest	CUI-less
blood pressure drop	C0232107
od'd	C0029944
inflammatory material	C0021368
ms change	C0278061
resistive indices	CUI-less
chronic back pain	C0740418
renal insufficiency	C0035078
junctional escape rhythm	CUI-less
abdominal effusions	C0685931
parenchymal hemorrhage	C2937358
lmca disease	C1299433
left ventricular cavity unusually small	CUI-less
tongue protrudes	CUI-less
lower gastrointestinal bleed	C0024050
uterus anteverted	CUI-less
elevated hr	CUI-less
decreased tone	C0026827
hyperchol	C0020443
equal in height	CUI-less
mitral valve prolapse	C0026267
unresponsive	CUI-less
vifib arrest	CUI-less
fevers	CUI-less
left facial numbness	C0015469
sepsis	C0243026
hypoactive bowel sounds	CUI-less
parasthesias	C0030554
laminar necrosis	C0333517
dislocation	C0012691
blood sugar high	CUI-less
complication	C0009566
drainage from incision	CUI-less
free fluid	C0013687
anticoagulation	CUI-less
cervical spondylosis	C1384641
ischemic symptoms	C0022116
drooling	C0013132
pancreatic cancer	C0346647
agitated	C0085631
small air fluid levels	CUI-less
electrolyte loss	CUI-less
cardiac enzymes normal	CUI-less
contusions	C0009938
jaundice	C0476232
dropped gallstone abscess	CUI-less
wound purulent draiange	CUI-less
burning	C0085624
femoral neck fracture	C0015806
adrenal insufficiency	C0001623
chronic pulmonary disease	C0746102
hyponatremia	CUI-less
drainage	CUI-less
supraclavicular mass	CUI-less
syncope	C0039070
fecalization of bowel contents	CUI-less
fracture	C0016658
coarse upper airway sounds	CUI-less
muscular dystrophy	C0026850
parasitization	CUI-less
degloving injury	C0433122
increased abdominal girth	CUI-less
tamponade physiology	C0007177
basilar stenosis	C0265097
bronchial bs	C0231873
three-vessel disease	C0340285
events	CUI-less
drift	CUI-less
pna	C0032285
pnd	C1956415
chronic parenchymal disease	CUI-less
vasospasm	C0085616
oral thrush	C0006849
palmar erythema	CUI-less
parkinsons	C0030567
st segment changes	CUI-less
shift of midline structures	CUI-less
toes upgoing	CUI-less
accreta	C0032044
heart irregular rate	CUI-less
stridor	C0038450
hyperlipidemia	C0020473
left main coronary artery disease	C1299433
left hemiparesis	CUI-less
nystagmus	C0028738
av block	C0004245
dysarthric speech	C0013362
papillary cancer	C0007133
chronic lung disease	C0746102
low lung volumes	CUI-less
breast ca	C0006142
redness wounds	C0406833
solid food distal esophagus	CUI-less
urinary urgency	CUI-less
coffee grounds	CUI-less
dark tarry stools	C0025222
superior pubic rami fracture	C0577726
multiple sclerosis	C0026769
inguinal mass	C0240007
gradient	CUI-less
infarctions water shed	C0333557
abdomen rebound	CUI-less
improved aeration	CUI-less
scleral icterus	C0240962
fainting	C0039070
embolism	C0013922
iga nephropathy	C0017661
atherosclerotic plaque	C0333483
right ventricular pressure overload	CUI-less
left ventricular systolic dysfunction	C1277187
erosions	C0333307
xanthomonas maltophilia	CUI-less
ureteral calculi	C0041952
dm 2	C0011860
head trauma	C0018674
basal cell cancer	C0007117
kidney calculi	C0022650
epigastric tenderness	C0578093
interstitial basilar abnormality	CUI-less
condition worsened	CUI-less
aspiration event	CUI-less
cystic collection	CUI-less
obstructive lung disease	C0600260
a-v conduction	C1627362
vision changes	C0042798
intoxication	CUI-less
rate junctional	CUI-less
ruptured pica aneurysm	C0349600
ear fullness	CUI-less
iron low	CUI-less
pcp pneumonia	C0032305
cramping	C0013390
food got stuck	CUI-less
subarachnoid hemorrage	C0038525
breast attenuation	CUI-less
oversedation	CUI-less
hepatitis b	C0019163
hepatitis c	C0019196
uncomfortable	C0234215
free air abdomen	C0032320
abd masses	CUI-less
hoarse voice	C0019825
hurt himself	C0480203
signs or symptoms	C0037088
warm	C0235218
rapid heartbeat	CUI-less
valvular abnormalities	CUI-less
electrolyte abnormalities	C0342579
impingement	C0231652
anterior space	CUI-less
chest pain with exertion	C0232288
common carotid artery aneurysm	C0264965
bladder mass	CUI-less
high density material	CUI-less
muscular atrophy	C0026846
alcohol withdrawal	C0236663
sodium increased	CUI-less
cardiomyopathy	C0878544
ventilator related pneumonia	C1701940
disease	C0012634
pale mucosa	CUI-less
glucose intolerance	C0271650
loose tooth	CUI-less
macrocytic	C0002886
suicidal thoughts	CUI-less
ptx	C0032326
